first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2022-12-19,2023-12-20,54.22,-28.94,215,2023-10-27,25.1,30,2023-02-02,9.98,253,False,50.38,-40.4,DOCU,DOCU,2022-12-19,yfinance
2023-06-20,2024-06-20,15.7,-46.5,206,2024-04-15,76.05,28,2023-07-31,-34.2,253,False,31.92,-66.12,RIVN,RIVN,2023-06-20,yfinance
2023-12-18,2024-12-18,261.69,-22.03,159,2024-08-07,26.2,76,2024-04-09,-18.72,253,False,27.49,-46.21,ALGN,ALGN,2023-12-18,yfinance
2023-12-18,2024-12-18,40.8321,-4.35,19,2024-01-17,60.36,202,2024-10-08,53.7,253,False,27.49,26.21,EBAY,EBAY,2023-12-18,yfinance
2023-12-18,2024-12-18,71.36,-22.48,162,2024-08-12,24.76,236,2024-11-25,14.98,253,False,27.49,-12.51,ZM,ZM,2023-12-18,yfinance
2023-12-18,2024-12-18,24.29,-19.52,52,2024-03-05,81.79,201,2024-10-07,40.71,253,False,27.49,13.22,JD,JD,2023-12-18,yfinance
2023-12-18,2024-12-18,47.3,-57.51,230,2024-11-15,-0.21,1,2023-12-19,-46.51,253,False,27.49,-74.0,LCID,LCID,2023-12-18,yfinance
2023-12-18,2024-12-18,124.03,-52.01,230,2024-11-15,10.73,5,2023-12-26,-44.53,253,False,27.49,-72.02,ENPH,ENPH,2023-12-18,yfinance
2024-06-24,2025-06-26,24.5854,-25.95,198,2025-04-08,48.33,21,2024-07-24,-12.73,253,False,15.9,-28.63,SIRI,SIRI,2024-06-24,yfinance
2024-11-18,2025-11-20,66.53,-6.93,76,2025-03-12,76.1,178,2025-08-07,48.14,253,False,17.76,30.38,DLTR,DLTR,2024-11-18,yfinance
2024-12-23,2025-12-26,32.4,-17.13,26,2025-02-03,87.38,148,2025-07-30,-5.43,253,False,19.93,-25.36,SMCI,SMCI,2024-12-23,yfinance
2024-12-23,2025-12-26,39.59,-43.52,228,2025-11-20,20.06,9,2025-01-07,-21.19,253,False,19.93,-41.12,MRNA,MRNA,2024-12-23,yfinance
2024-12-23,2025-12-26,134.99,-47.92,71,2025-04-08,6.84,12,2025-01-13,-0.03,253,False,19.93,-19.96,ILMN,ILMN,2024-12-23,yfinance
